Defined_autoware_type,Define_autoware_sub_type,Standard_id,Standard_sub_id,comments
TRAFFIC_LIGHT,VERTICAL_ALL_LIGHTS,1000001,-1,"Vertical traffic light, RED, YELLOW, GREEN"
TRAFFIC_LIGHT,VERTICAL_ALL_PEDISTRIAN_LIGHTS,1000002,-1,"Vertical pedestrian light, RED, GREEN"
TRAFFIC_LIGHT,SINGLE_PEDISTRIAN_LIGHT,1000002,10,ONLY RED pedestrian light
TRAFFIC_LIGHT,VERTICAL_ALL_PEDISTRIAN_LIGHTS,1000007,-1,"Vertical pedestrian & cyclist light, RED, GREEN"
TRAFFIC_LIGHT,SINGLE_PEDISTRIAN_LIGHT,1000007,10,ONLY RED pedestrian and cyclist light
TRAFFIC_LIGHT,SINGLE_PEDISTRIAN_LIGHT,1000007,20,ONLY YELLOW pedestrian and cyclist light
TRAFFIC_LIGHT,SINGLE_PEDISTRIAN_LIGHT,1000007,30,ONLY GREEN pedestrian and cyclist light
TRAFFIC_LIGHT,SINGLE_YELLOW,1000008,-1,Only YELLOW light
TRAFFIC_LIGHT,SINGLE_LEFT_ARROW,1000008,10,Only Go Left YELLOW light
TRAFFIC_LIGHT,SINGLE_RIGHT_ARROW,1000008,20,Only Go Right YELLOW light
TRAFFIC_LIGHT,VERTICAL_LIGHTS,1000009,10,"Vertical Two RED, YELLOW lights"
TRAFFIC_LIGHT,VERTICAL_LIGHTS,1000009,20,"Vertical Two YELLOW, GREEN light"
TRAFFIC_LIGHT,LEFT_ARROWS,1000010,10,"Vertical Go Left YELLOW, GREEN light"
TRAFFIC_LIGHT,RIGHT_ARROWS,1000010,20,"Vertical Go Right YELLOW, GREEN light"
TRAFFIC_LIGHT,LEFT_ARROWS,1000011,10,"Vertical Go Left RED , YELLOW, GREEN"
TRAFFIC_LIGHT,RIGHT_ARROWS,1000011,20,"Vertical Go Right RED , YELLOW, GREEN"
TRAFFIC_LIGHT,FORWARD_ARROWS,1000011,30,"Vertical Go Forward RED , YELLOW, GREEN"
TRAFFIC_LIGHT,LEFT_FORWARD_ARROWS,1000011,40,"Vertical Go Forward & Left RED , YELLOW, GREEN"
TRAFFIC_LIGHT,RIGHT_FORWARD_ARROWS,1000011,50,"Vertical Go Forward & Right RED , YELLOW, GREEN"
TRAFFIC_LIGHT,SINGLE_LEFT_ARROW,1000012,10,Only Go Left GREEN light
TRAFFIC_LIGHT,SINGLE_RIGHT_ARROW,1000012,20,Only Go Right GREEN light
ROAD_MARK,STOP_LINE_MARK,294,-1,Stop line
ROAD_MARK,WAITING_LINE_MARK,341,-1,waiting line 
TRAFFIC_SIGN,GIVE_WAY,306,-1,general give way 
TRAFFIC_SIGN,INTERSECTION_GIVE_WAY,205,-1,give way in intersection https://de.wikipedia.org/wiki/Bildtafel_der_Verkehrszeichen_in_der_Bundesrepublik_Deutschland_von_2013_bis_2017
TRAFFIC_SIGN,ROUNDABOUT,215,-1,
TRAFFIC_SIGN,HIGHWAY_NOTICE_BOARD,448,-1,
TRAFFIC_SIGN,SPEED_LIMIT_SIGN,274,-1,
TRAFFIC_SIGN,DIRECTION_SIGN,625,-1,
TRAFFIC_SIGN,STOP_SIGN,206,-1,
